College,Department,Category,Cutoff
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,3AR,74163
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,3BG,64991
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,3BK,98456
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,3BR,80617
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,GM,50158
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,GMK,67513
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,GMR,71426
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,SCG,123898
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,SCK,178741
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,SCR,192762
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,STG,117800
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,STR,146107
E002 S K S J T Institute of Engineering Bangalore,CE Civil,1G,137990
E002 S K S J T Institute of Engineering Bangalore,CE Civil,2AG,139499
E002 S K S J T Institute of Engineering Bangalore,CE Civil,2AK,171687
E002 S K S J T Institute of Engineering Bangalore,CE Civil,2AR,155926
E002 S K S J T Institute of Engineering Bangalore,CE Civil,2BG,132292
E002 S K S J T Institute of Engineering Bangalore,CE Civil,3AG,121110
E002 S K S J T Institute of Engineering Bangalore,CE Civil,3BG,131474
E002 S K S J T Institute of Engineering Bangalore,CE Civil,3BR,148854
E002 S K S J T Institute of Engineering Bangalore,CE Civil,GM,113709
E002 S K S J T Institute of Engineering Bangalore,CE Civil,GMK,120451
E002 S K S J T Institute of Engineering Bangalore,CE Civil,GMR,129080
E002 S K S J T Institute of Engineering Bangalore,CE Civil,SCG,152109
E002 S K S J T Institute of Engineering Bangalore,CE Civil,SCK,172977
E002 S K S J T Institute of Engineering Bangalore,CE Civil,SCR,163686
E002 S K S J T Institute of Engineering Bangalore,CE Civil,STG,159676
E002 S K S J T Institute of Engineering Bangalore,CE Civil,STR,202164
E002 S K S J T Institute of Engineering Bangalore,CS Computers,1G,26747
E002 S K S J T Institute of Engineering Bangalore,CS Computers,1R,32544
E002 S K S J T Institute of Engineering Bangalore,CS Computers,2AG,26171
E002 S K S J T Institute of Engineering Bangalore,CS Computers,2AR,31083
E002 S K S J T Institute of Engineering Bangalore,CS Computers,2BG,30184
E002 S K S J T Institute of Engineering Bangalore,CS Computers,2BR,39782
